X;Y;DATUM;TIJD;SENSHTE;T ;pH;%O2;O2;CL-;PHYCOUGL;SALNTT;GELDHD;TROEBHFNU;CHLFRFU;GELBH;Echms
51,69835618;4,03064328;20250626;84323;1,04;20,6;8,06;113,35;8,52;16887,36;-0,95;29,89;4160,65;1,54;2,32;42,13;-999
51,69835618;4,03064328;20250626;84341;2,03;20,6;8,06;113,16;8,51;16887,86;-0,94;29,89;4160,76;1,51;2,27;42,14;-999
51,69835618;4,03064328;20250626;84406;2,03;20,6;8,06;113,26;8,51;16888,68;-0,9;29,89;4160,93;1,48;2,22;42,14;-999
51,69835618;4,03064328;20250626;84420;3,02;20,59;8,06;113,34;8,52;16890,18;-1;29,89;4161,25;1,39;2,22;42,13;-999
51,69835618;4,03064328;20250626;84435;4,08;20,55;8,05;112,18;8,44;16894,35;-0,94;29,9;4162,1;1,4;1,97;42,11;-999
51,69835618;4,03064328;20250626;84448;5,02;20,43;8,03;109,65;8,27;16906,03;-1,04;29,92;4164,48;1,46;2,11;42,02;-999
51,69835618;4,03064328;20250626;84503;6,02;20,21;7,96;98,53;7,45;16930,82;-0,85;29,96;4169,57;1,47;1,94;41,88;-999
51,69835618;4,03064328;20250626;84519;6,93;20,15;7,95;92,25;6,99;16932,32;-0,91;29,96;4169,81;1,53;1,94;41,83;-999
51,69835618;4,03064328;20250626;84536;8,06;20,1;7,93;86,81;6,58;16937,88;-1,02;29,97;4170,95;1,76;1,55;41,8;-999
51,69835618;4,03064328;20250626;84601;9;19,99;7,9;80,52;6,12;16939,76;-1,13;29,97;4171,23;1,53;0,71;41,71;-999
